RecNo.,Time,Pressure1,Pressure2,Temp.1,Temp.2,Temp. 3,Temp. 4
No.   ,sec,kgf/§²,kgf/§²,¡É,¡É,¡É,¡É
        85,      5100,     34.63,      0.00,    127.80,      0.00,      0.00,      0.00
        86,      5160,     34.64,      0.00,    127.80,      0.00,      0.00,      0.00
        87,      5220,     34.63,      0.00,    127.50,      0.00,      0.00,      0.00
        88,      5280,     34.63,      0.00,    127.20,      0.00,      0.00,      0.00
        89,      5340,     34.62,      0.00,    127.10,      0.00,      0.00,      0.00
        90,      5400,     34.62,      0.00,    126.80,      0.00,      0.00,      0.00
        91,      5460,     34.62,      0.00,    126.70,      0.00,      0.00,      0.00
        92,      5520,     34.60,      0.00,    126.60,      0.00,      0.00,      0.00
        93,      5580,     34.59,      0.00,    126.40,      0.00,      0.00,      0.00
        94,      5640,     34.59,      0.00,    126.20,      0.00,      0.00,      0.00
        95,      5700,     34.53,      0.00,    126.00,      0.00,      0.00,      0.00
        96,      5760,     34.57,      0.00,    125.70,      0.00,      0.00,      0.00
        97,      5820,     34.56,      0.00,    125.60,      0.00,      0.00,      0.00
        98,      5880,     34.56,      0.00,    125.20,      0.00,      0.00,      0.00
        99,      5940,     34.56,      0.00,    125.00,      0.00,      0.00,      0.00
       100,      6000,     34.56,      0.00,    124.80,      0.00,      0.00,      0.00
       101,      6060,     34.55,      0.00,    124.70,      0.00,      0.00,      0.00
       102,      6120,     34.54,      0.00,    124.60,      0.00,      0.00,      0.00
       103,      6180,     34.55,      0.00,    124.40,      0.00,      0.00,      0.00
       104,      6240,     34.54,      0.00,    123.90,      0.00,      0.00,      0.00
       105,      6300,     34.52,      0.00,    123.80,      0.00,      0.00,      0.00
       106,      6360,     34.52,      0.00,    123.60,      0.00,      0.00,      0.00
       107,      6420,     34.51,      0.00,    123.40,      0.00,      0.00,      0.00
       108,      6480,     34.52,      0.00,    123.10,      0.00,      0.00,      0.00
       109,      6540,     34.49,      0.00,    123.10,      0.00,      0.00,      0.00
       110,      6600,     34.49,      0.00,    123.10,      0.00,      0.00,      0.00
       111,      6660,     34.49,      0.00,    122.70,      0.00,      0.00,      0.00
       112,      6720,     34.49,      0.00,    122.60,      0.00,      0.00,      0.00
       113,      6780,     34.48,      0.00,    122.40,      0.00,      0.00,      0.00
       114,      6840,     34.46,      0.00,    122.30,      0.00,      0.00,      0.00
       115,      6900,     34.46,      0.00,    121.80,      0.00,      0.00,      0.00
       116,      6960,     34.46,      0.00,    121.60,      0.00,      0.00,      0.00
       117,      7020,     34.46,      0.00,    121.30,      0.00,      0.00,      0.00
       118,      7080,     34.45,      0.00,    121.30,      0.00,      0.00,      0.00
       119,      7140,     34.43,      0.00,    121.00,      0.00,      0.00,      0.00
       120,      7200,     34.46,      0.00,    120.80,      0.00,      0.00,      0.00
       121,      7260,     34.45,      0.00,    120.30,      0.00,      0.00,      0.00
       122,      7320,     34.43,      0.00,    120.30,      0.00,      0.00,      0.00
       123,      7380,     34.42,      0.00,    120.20,      0.00,      0.00,      0.00
       124,      7440,     34.42,      0.00,    120.20,      0.00,      0.00,      0.00
       125,      7500,     34.42,      0.00,    120.10,      0.00,      0.00,      0.00
       126,      7560,     34.41,      0.00,    119.80,      0.00,      0.00,      0.00
       127,      7620,     34.40,      0.00,    119.60,      0.00,      0.00,      0.00
       128,      7680,     34.39,      0.00,    119.60,      0.00,      0.00,      0.00
       129,      7740,     34.40,      0.00,    119.50,      0.00,      0.00,      0.00
       130,      7800,     34.39,      0.00,    119.20,      0.00,      0.00,      0.00
       131,      7860,     34.39,      0.00,    119.00,      0.00,      0.00,      0.00
       132,      7920,     34.37,      0.00,    118.80,      0.00,      0.00,      0.00
       133,      7980,     34.38,      0.00,    118.30,      0.00,      0.00,      0.00
       134,      8040,     34.36,      0.00,    118.00,      0.00,      0.00,      0.00
       135,      8100,     34.36,      0.00,    117.60,      0.00,      0.00,      0.00
       136,      8160,     34.35,      0.00,    117.60,      0.00,      0.00,      0.00
       137,      8220,     34.35,      0.00,    117.30,      0.00,      0.00,      0.00
       138,      8280,     34.35,      0.00,    116.90,      0.00,      0.00,      0.00
       139,      8340,     34.33,      0.00,    116.90,      0.00,      0.00,      0.00
       140,      8400,     34.31,      0.00,    116.70,      0.00,      0.00,      0.00
       141,      8460,     34.37,      0.00,    116.60,      0.00,      0.00,      0.00
       142,      8520,     34.31,      0.00,    116.60,      0.00,      0.00,      0.00
       143,      8580,     34.31,      0.00,    116.40,      0.00,      0.00,      0.00
       144,      8640,     34.30,      0.00,    116.10,      0.00,      0.00,      0.00
       145,      8700,     34.29,      0.00,    115.90,      0.00,      0.00,      0.00
       146,      8760,     34.29,      0.00,    115.70,      0.00,      0.00,      0.00
       147,      8820,     34.28,      0.00,    115.60,      0.00,      0.00,      0.00
       148,      8880,     34.28,      0.00,    115.40,      0.00,      0.00,      0.00
       149,      8940,     34.26,      0.00,    115.20,      0.00,      0.00,      0.00
       150,      9000,     34.26,      0.00,    114.80,      0.00,      0.00,      0.00
       151,      9060,     34.26,      0.00,    114.80,      0.00,      0.00,      0.00
       152,      9120,     34.24,      0.00,    114.50,      0.00,      0.00,      0.00
       153,      9180,     34.25,      0.00,    114.40,      0.00,      0.00,      0.00
       154,      9240,     34.24,      0.00,    114.00,      0.00,      0.00,      0.00
       155,      9300,     34.24,      0.00,    114.00,      0.00,      0.00,      0.00
       156,      9360,     34.22,      0.00,    113.60,      0.00,      0.00,      0.00
       157,      9420,     34.23,      0.00,    113.20,      0.00,      0.00,      0.00
       158,      9480,     34.22,      0.00,    112.80,      0.00,      0.00,      0.00
       159,      9540,     34.23,      0.00,    112.80,      0.00,      0.00,      0.00
       160,      9600,     34.20,      0.00,    112.50,      0.00,      0.00,      0.00
       161,      9660,     34.20,      0.00,    112.40,      0.00,      0.00,      0.00
       162,      9720,     34.20,      0.00,    112.40,      0.00,      0.00,      0.00
       163,      9780,     34.19,      0.00,    112.30,      0.00,      0.00,      0.00
       164,      9840,     34.20,      0.00,    112.00,      0.00,      0.00,      0.00
       165,      9900,     34.17,      0.00,    112.00,      0.00,      0.00,      0.00
       166,      9960,     34.17,      0.00,    111.70,      0.00,      0.00,      0.00
       167,     10020,     34.17,      0.00,    111.70,      0.00,      0.00,      0.00
       168,     10080,     34.16,      0.00,    111.40,      0.00,      0.00,      0.00
       169,     10140,     34.16,      0.00,    111.20,      0.00,      0.00,      0.00
       170,     10200,     34.15,      0.00,    110.80,      0.00,      0.00,      0.00
       171,     10260,     34.15,      0.00,    110.60,      0.00,      0.00,      0.00
       172,     10320,     34.13,      0.00,    110.30,      0.00,      0.00,      0.00
       173,     10380,     34.13,      0.00,    110.20,      0.00,      0.00,      0.00
       174,     10440,     34.13,      0.00,    109.90,      0.00,      0.00,      0.00
       175,     10500,     34.12,      0.00,    109.80,      0.00,      0.00,      0.00
       176,     10560,     34.10,      0.00,    109.30,      0.00,      0.00,      0.00
       177,     10620,     34.18,      0.00,    109.20,      0.00,      0.00,      0.00
       178,     10680,     34.10,      0.00,    109.00,      0.00,      0.00,      0.00
       179,     10740,     34.10,      0.00,    109.10,      0.00,      0.00,      0.00
       180,     10800,     34.10,      0.00,    108.90,      0.00,      0.00,      0.00
       181,     10860,     34.08,      0.00,    108.50,      0.00,      0.00,      0.00
       182,     10920,     34.09,      0.00,    108.30,      0.00,      0.00,      0.00
       183,     10980,     34.09,      0.00,    108.10,      0.00,      0.00,      0.00
       184,     11040,     34.07,      0.00,    107.90,      0.00,      0.00,      0.00
       185,     11100,     34.07,      0.00,    107.80,      0.00,      0.00,      0.00
       186,     11160,     34.05,      0.00,    107.20,      0.00,      0.00,      0.00
       187,     11220,     34.04,      0.00,    106.60,      0.00,      0.00,      0.00
       188,     11280,     34.04,      0.00,    106.60,      0.00,      0.00,      0.00
       189,     11340,     34.06,      0.00,    106.70,      0.00,      0.00,      0.00
       190,     11400,     34.01,      0.00,    106.60,      0.00,      0.00,      0.00
       191,     11460,     34.03,      0.00,    106.30,      0.00,      0.00,      0.00
       192,     11520,     34.04,      0.00,    105.90,      0.00,      0.00,      0.00
       193,     11580,     34.00,      0.00,    105.70,      0.00,      0.00,      0.00
       194,     11640,     34.00,      0.00,    105.50,      0.00,      0.00,      0.00
       195,     11700,     34.00,      0.00,    105.70,      0.00,      0.00,      0.00
       196,     11760,     33.99,      0.00,    105.30,      0.00,      0.00,      0.00
       197,     11820,     33.99,      0.00,    105.00,      0.00,      0.00,      0.00
       198,     11880,     33.99,      0.00,    104.70,      0.00,      0.00,      0.00
       199,     11940,     33.98,      0.00,    104.60,      0.00,      0.00,      0.00
       200,     12000,     33.98,      0.00,    104.30,      0.00,      0.00,      0.00
       201,     12060,     33.96,      0.00,    104.20,      0.00,      0.00,      0.00
       202,     12120,     33.98,      0.00,    103.80,      0.00,      0.00,      0.00
       203,     12180,     33.94,      0.00,    103.80,      0.00,      0.00,      0.00
       204,     12240,     33.96,      0.00,    103.40,      0.00,      0.00,      0.00
       205,     12300,     33.94,      0.00,    103.20,      0.00,      0.00,      0.00
       206,     12360,     33.94,      0.00,    102.90,      0.00,      0.00,      0.00
       207,     12420,     33.94,      0.00,    102.80,      0.00,      0.00,      0.00
       208,     12480,     33.91,      0.00,    102.60,      0.00,      0.00,      0.00
       209,     12540,     33.91,      0.00,    102.60,      0.00,      0.00,      0.00
       210,     12600,     33.91,      0.00,    102.30,      0.00,      0.00,      0.00
       211,     12660,     33.90,      0.00,    102.10,      0.00,      0.00,      0.00
       212,     12720,     33.91,      0.00,    102.00,      0.00,      0.00,      0.00
       213,     12780,     33.90,      0.00,    101.60,      0.00,      0.00,      0.00
       214,     12840,     33.90,      0.00,    101.40,      0.00,      0.00,      0.00
       215,     12900,     33.89,      0.00,    101.20,      0.00,      0.00,      0.00
       216,     12960,     33.90,      0.00,    101.50,      0.00,      0.00,      0.00
       217,     13020,     33.87,      0.00,    101.10,      0.00,      0.00,      0.00
       218,     13080,     33.87,      0.00,    100.70,      0.00,      0.00,      0.00
       219,     13140,     33.85,      0.00,    100.40,      0.00,      0.00,      0.00
       220,     13200,     33.86,      0.00,    100.40,      0.00,      0.00,      0.00
       221,     13260,     33.85,      0.00,    100.40,      0.00,      0.00,      0.00
       222,     13320,     33.85,      0.00,    100.30,      0.00,      0.00,      0.00
       223,     13380,     33.85,      0.00,    100.00,      0.00,      0.00,      0.00
       224,     13440,     33.84,      0.00,     99.90,      0.00,      0.00,      0.00
       225,     13500,     33.83,      0.00,     99.50,      0.00,      0.00,      0.00
       226,     13560,     33.81,      0.00,     99.30,      0.00,      0.00,      0.00
       227,     13620,     33.81,      0.00,     98.90,      0.00,      0.00,      0.00
       228,     13680,     33.81,      0.00,     98.70,      0.00,      0.00,      0.00
       229,     13740,     33.79,      0.00,     98.80,      0.00,      0.00,      0.00
       230,     13800,     33.81,      0.00,     98.70,      0.00,      0.00,      0.00
       231,     13860,     33.78,      0.00,     98.50,      0.00,      0.00,      0.00
       232,     13920,     33.78,      0.00,     98.30,      0.00,      0.00,      0.00
       233,     13980,     33.77,      0.00,     98.10,      0.00,      0.00,      0.00
       234,     14040,     33.78,      0.00,     97.70,      0.00,      0.00,      0.00
       235,     14100,     33.77,      0.00,     97.40,      0.00,      0.00,      0.00
       236,     14160,     33.77,      0.00,     97.40,      0.00,      0.00,      0.00
       237,     14220,     33.76,      0.00,     97.10,      0.00,      0.00,      0.00
       238,     14280,     33.75,      0.00,     96.60,      0.00,      0.00,      0.00
       239,     14340,     33.74,      0.00,     96.50,      0.00,      0.00,      0.00
       240,     14400,     33.74,      0.00,     96.40,      0.00,      0.00,      0.00
       241,     14460,     33.73,      0.00,     96.30,      0.00,      0.00,      0.00
       242,     14520,     33.73,      0.00,     96.10,      0.00,      0.00,      0.00
       243,     14580,     33.72,      0.00,     96.00,      0.00,      0.00,      0.00
       244,     14640,     33.73,      0.00,     95.70,      0.00,      0.00,      0.00
       245,     14700,     33.71,      0.00,     95.60,      0.00,      0.00,      0.00
       246,     14760,     33.70,      0.00,     95.50,      0.00,      0.00,      0.00
       247,     14820,     33.72,      0.00,     95.20,      0.00,      0.00,      0.00
       248,     14880,     33.70,      0.00,     95.10,      0.00,      0.00,      0.00
       249,     14940,     33.68,      0.00,     94.80,      0.00,      0.00,      0.00
       250,     15000,     33.68,      0.00,     94.60,      0.00,      0.00,      0.00
       251,     15060,     33.68,      0.00,     94.70,      0.00,      0.00,      0.00
       252,     15120,     33.68,      0.00,     94.30,      0.00,      0.00,      0.00
       253,     15180,     33.67,      0.00,     93.90,      0.00,      0.00,      0.00
       254,     15240,     33.66,      0.00,     93.50,      0.00,      0.00,      0.00
       255,     15300,     33.66,      0.00,     93.80,      0.00,      0.00,      0.00
       256,     15360,     33.64,      0.00,     93.50,      0.00,      0.00,      0.00
       257,     15420,     33.65,      0.00,     93.30,      0.00,      0.00,      0.00
       258,     15480,     33.64,      0.00,     92.80,      0.00,      0.00,      0.00
       259,     15540,     33.67,      0.00,     92.50,      0.00,      0.00,      0.00
       260,     15600,     33.61,      0.00,     92.70,      0.00,      0.00,      0.00
       261,     15660,     33.61,      0.00,     92.40,      0.00,      0.00,      0.00
       262,     15720,     33.63,      0.00,     92.10,      0.00,      0.00,      0.00
       263,     15780,     33.60,      0.00,     91.60,      0.00,      0.00,      0.00
       264,     15840,     33.60,      0.00,     91.60,      0.00,      0.00,      0.00
       265,     15900,     33.60,      0.00,     91.50,      0.00,      0.00,      0.00
       266,     15960,     33.60,      0.00,     91.50,      0.00,      0.00,      0.00
       267,     16020,     33.59,      0.00,     91.20,      0.00,      0.00,      0.00
       268,     16080,     33.57,      0.00,     91.00,      0.00,      0.00,      0.00
       269,     16140,     33.57,      0.00,     90.90,      0.00,      0.00,      0.00
       270,     16200,     33.58,      0.00,     90.90,      0.00,      0.00,      0.00
       271,     16260,     33.56,      0.00,     90.70,      0.00,      0.00,      0.00
       272,     16320,     33.55,      0.00,     90.20,      0.00,      0.00,      0.00
       273,     16380,     33.55,      0.00,     89.50,      0.00,      0.00,      0.00
       274,     16440,     33.55,      0.00,     89.00,      0.00,      0.00,      0.00
       275,     16500,     33.54,      0.00,     89.30,      0.00,      0.00,      0.00
       276,     16560,     33.54,      0.00,     89.20,      0.00,      0.00,      0.00
       277,     16620,     33.52,      0.00,     89.10,      0.00,      0.00,      0.00
       278,     16680,     33.52,      0.00,     88.70,      0.00,      0.00,      0.00
       279,     16740,     33.55,      0.00,     88.70,      0.00,      0.00,      0.00
       280,     16800,     33.51,      0.00,     88.70,      0.00,      0.00,      0.00
       281,     16860,     33.51,      0.00,     88.70,      0.00,      0.00,      0.00
       282,     16920,     33.51,      0.00,     88.30,      0.00,      0.00,      0.00
       283,     16980,     33.50,      0.00,     87.90,      0.00,      0.00,      0.00
       284,     17040,     33.50,      0.00,     87.70,      0.00,      0.00,      0.00
       285,     17100,     33.48,      0.00,     87.70,      0.00,      0.00,      0.00
       286,     17160,     33.48,      0.00,     87.70,      0.00,      0.00,      0.00
       287,     17220,     33.48,      0.00,     87.30,      0.00,      0.00,      0.00
       288,     17280,     33.46,      0.00,     87.00,      0.00,      0.00,      0.00
       289,     17340,     33.46,      0.00,     86.70,      0.00,      0.00,      0.00
       290,     17400,     33.45,      0.00,     87.00,      0.00,      0.00,      0.00
       291,     17460,     33.46,      0.00,     86.90,      0.00,      0.00,      0.00
       292,     17520,     33.45,      0.00,     86.30,      0.00,      0.00,      0.00
       293,     17580,     33.44,      0.00,     86.10,      0.00,      0.00,      0.00
       294,     17640,     33.42,      0.00,     85.90,      0.00,      0.00,      0.00
       295,     17700,     33.43,      0.00,     85.90,      0.00,      0.00,      0.00
       296,     17760,     33.42,      0.00,     85.70,      0.00,      0.00,      0.00
       297,     17820,     33.40,      0.00,     85.50,      0.00,      0.00,      0.00
       298,     17880,     33.39,      0.00,     84.80,      0.00,      0.00,      0.00
       299,     17940,     33.42,      0.00,     84.50,      0.00,      0.00,      0.00
       300,     18000,     33.38,      0.00,     84.30,      0.00,      0.00,      0.00
       301,     18060,     33.39,      0.00,     84.30,      0.00,      0.00,      0.00
       302,     18120,     33.38,      0.00,     83.90,      0.00,      0.00,      0.00
       303,     18180,     33.38,      0.00,     83.40,      0.00,      0.00,      0.00
       304,     18240,     33.36,      0.00,     83.00,      0.00,      0.00,      0.00
       305,     18300,     33.36,      0.00,     83.20,      0.00,      0.00,      0.00
       306,     18360,     33.35,      0.00,     83.40,      0.00,      0.00,      0.00
       307,     18420,     33.34,      0.00,     83.00,      0.00,      0.00,      0.00
       308,     18480,     33.34,      0.00,     82.70,      0.00,      0.00,      0.00
       309,     18540,     33.33,      0.00,     82.40,      0.00,      0.00,      0.00
       310,     18600,     33.32,      0.00,     82.50,      0.00,      0.00,      0.00
       311,     18660,     33.32,      0.00,     82.20,      0.00,      0.00,      0.00
       312,     18720,     33.31,      0.00,     81.90,      0.00,      0.00,      0.00
       313,     18780,     33.31,      0.00,     81.50,      0.00,      0.00,      0.00
       314,     18840,     33.29,      0.00,     81.30,      0.00,      0.00,      0.00
       315,     18900,     33.29,      0.00,     81.30,      0.00,      0.00,      0.00
       316,     18960,     33.28,      0.00,     81.00,      0.00,      0.00,      0.00
       317,     19020,     33.28,      0.00,     80.70,      0.00,      0.00,      0.00
       318,     19080,     33.27,      0.00,     80.20,      0.00,      0.00,      0.00
       319,     19140,     33.27,      0.00,     80.00,      0.00,      0.00,      0.00
       320,     19200,     33.25,      0.00,     80.10,      0.00,      0.00,      0.00
       321,     19260,     33.25,      0.00,     80.10,      0.00,      0.00,      0.00
       322,     19320,     33.25,      0.00,     79.70,      0.00,      0.00,      0.00
       323,     19380,     33.25,      0.00,     79.40,      0.00,      0.00,      0.00
       324,     19440,     33.24,      0.00,     79.30,      0.00,      0.00,      0.00
       325,     19500,     33.23,      0.00,     79.40,      0.00,      0.00,      0.00
       326,     19560,     33.23,      0.00,     79.30,      0.00,      0.00,      0.00
       327,     19620,     33.23,      0.00,     79.00,      0.00,      0.00,      0.00
       328,     19680,     33.22,      0.00,     78.50,      0.00,      0.00,      0.00
       329,     19740,     33.22,      0.00,     78.30,      0.00,      0.00,      0.00
       330,     19800,     33.21,      0.00,     78.40,      0.00,      0.00,      0.00
       331,     19860,     33.21,      0.00,     78.30,      0.00,      0.00,      0.00
       332,     19920,     33.19,      0.00,     78.10,      0.00,      0.00,      0.00
       333,     19980,     33.18,      0.00,     77.90,      0.00,      0.00,      0.00
       334,     20040,     33.15,      0.00,     77.50,      0.00,      0.00,      0.00
